X	Y	UpstreamIndex
315772.8708	3495348.539	1258
338722.8708	3541428.539	3101
315232.8708	3498858.539	291
341692.8708	3515928.539	2271
335512.8708	3505458.539	1347
341512.8708	3493728.539	2741
357442.8708	3484728.539	3140
344422.8708	3526728.539	2038
354652.8708	3488688.539	2147
338062.8708	3535788.539	1365
364252.8708	3483468.539	3040
392602.8708	3473838.539	4741
373432.8708	3483138.539	2891
362572.8708	3506238.539	2353
381952.8708	3487368.539	3619
362002.8708	3508008.539	3013
381982.8708	3483108.539	2943
386092.8708	3487218.539	3131
396382.8708	3472728.539	4119
407302.8708	3460068.539	5333
414652.8708	3451128.539	5732
405502.8708	3463158.539	4432
418642.8708	3447948.539	6249
395002.8708	3480408.539	3645
415282.8708	3456228.539	4940
438892.8708	3436878.539	6912
425542.8708	3448128.539	5378
425122.8708	3445848.539	6031
469012.8708	3437748.539	8667
440572.8708	3439308.539	6007
467062.8708	3444618.539	7961
473632.8708	3444588.539	7627
483982.8708	3438768.539	7654
491572.8708	3431748.539	8042
484972.8708	3438048.539	7687
