Z,DZ,L_fromOutl
4538.120473,96.897857,50814.952340
4379.035636,490.203432,54240.465325
4418.426967,454.305457,119873.865710
4392.450150,446.272713,115305.489092
4458.812792,446.186369,104363.588669
4403.528331,439.790228,63657.147135
4442.922900,435.676989,76185.300808
4470.014648,411.035748,121124.454455
4530.297445,119.829985,126209.744495
4545.919505,91.054999,130346.212025
4362.446711,404.336151,66235.746699
4517.513762,82.793861,124835.774799
4459.347187,71.670442,121456.586489
4359.986555,394.368001,88976.541059
4456.632188,78.060472,161088.906807
4528.856646,385.733165,73634.935009
4532.765026,73.365877,169643.385156
4535.484728,91.496928,100790.207717
4457.630236,72.409336,161094.053994
4493.350018,80.237883,91502.054045
4385.767730,380.050432,75411.331112
4503.853990,366.995950,137156.212025
4440.277635,366.037576,151084.285605
4402.389524,353.852824,246684.644841
4495.950355,103.747558,39707.244559
4352.757140,111.050504,68577.512935
4408.008789,335.074233,197720.129728
4459.472320,331.761568,181231.761775
4394.893905,310.376747,212645.482529
4509.760585,308.271763,78133.383054
4368.815375,299.116617,108488.878708
4432.956214,296.684909,183616.686015
4394.696212,78.590027,114922.768312
4368.077326,201.703596,124313.499911
4438.088931,120.390749,148045.240149
4393.502033,273.604922,184046.980388
4534.380997,87.677150,153328.469581
4445.119770,273.184903,151549.209845
4416.184052,271.857208,148191.493399
4474.289451,268.772898,79887.058377
4419.284577,267.762689,179491.395976
4447.649213,267.414514,190957.489041
4408.447907,255.387329,150390.021536
4538.241995,102.099839,146089.512883
4456.462661,242.801438,179391.984721
4514.442722,94.727004,144860.396001
4368.656551,242.780936,73384.123318
4392.796654,240.289229,190403.813717
4371.570948,235.501225,248663.761724
4394.632738,234.716097,151907.809410
4421.598342,233.898928,179587.792079
4387.799715,225.375023,262525.956519
4373.888275,214.431923,89363.525907
4408.616697,182.087452,172299.709833
4489.149237,204.470781,63678.984797
4378.220507,160.630285,150863.625433
4506.054936,186.086247,159655.302910
4443.918116,148.446270,244289.426228
4466.408870,146.476140,294091.809308
4415.545758,144.725713,190333.519344
4420.855021,142.357660,238989.506321
4434.994116,140.568153,185893.670863
4475.292775,139.748061,267312.129677
4397.911398,139.390926,244066.116704
4422.458034,138.677008,252393.904577
4363.045083,164.575177,54106.272683
4395.143933,133.331322,261935.367774
4424.082345,131.496041,186784.625408
4448.489546,131.154986,202133.510679
4493.647044,130.433631,143900.030202
4475.318782,123.924482,239398.328831
4395.345471,121.491278,149523.554006
4504.110353,121.239551,332803.175081
4402.370770,112.492438,152553.919806
4409.139064,137.869668,139060.101629
4427.688183,111.320482,238656.856968
4427.076785,107.323420,173306.400308
4425.803378,107.258260,179854.411127
4500.021659,120.327931,62433.177439
4425.821041,105.766072,178634.705500
4358.048171,110.501452,35521.437201
4447.707826,111.329024,176098.532343
4444.462003,103.213560,200228.069120
4364.150336,109.672240,104011.751007
4496.214689,103.105897,283446.376414
4361.447019,101.222795,215385.776901
4485.891913,100.288062,176363.750956
4460.647136,100.152525,171770.004205
4407.120834,100.049434,158032.590797
4452.720214,99.673282,226104.367800
4496.825255,99.343821,137517.460941
4388.157541,98.466203,238086.491169
4402.048326,98.013593,151912.376516
4369.910680,97.475033,198938.952238
4394.693286,97.076227,253470.889425
4397.471916,94.991862,262787.794181
4500.525066,90.084916,286145.859096
4429.094446,83.407498,116950.341905
4512.179389,75.655735,150606.783439
4362.939091,86.885829,190059.255276
4409.119698,74.118436,174146.034509
4535.917919,85.949048,224806.874299
4446.895480,85.617717,205134.759596
4482.363226,71.334389,185063.599437
4404.997684,80.891767,285484.610179
4393.356831,79.616419,149414.214178
4368.746380,78.426829,174738.237970
4464.369739,77.837529,255726.402411
4428.240889,77.447689,226197.382952
4471.294922,76.148549,256013.976004
4420.387029,72.744829,150285.463095
4351.752500,70.931057,267614.627510
