X,Y,L_m_Upstream,StreamNumber
304824.94766718,3498379.75942367,52728.0389183032,7
313494.94766718,3513079.75942367,56645.9783106966,4
335004.94766718,3530329.75942367,125966.212024587,103
332214.94766718,3521269.75942367,118894.67740078,102
335844.94766718,3492949.75942367,108260.056198321,19
326214.94766718,3489979.75942367,73144.6406361014,12
332304.94766718,3531529.75942367,129414.079990231,98
324684.94766718,3531619.75942367,133742.97392692,97
315624.94766718,3483709.75942367,71864.0518910709,11
329004.94766718,3524839.75942367,126833.714190967,99
330234.94766718,3523069.75942367,124631.805102377,100
339174.94766718,3494959.75942367,93010.5821821197,18
327834.94766718,3499639.75942367,75676.1839254269,14
371244.94766718,3532189.75942367,166496.91762657,86
329124.94766718,3519799.75942367,103145.131957829,105
332484.94766718,3493459.75942367,97152.1968981946,16
329634.94766718,3494719.75942367,81265.960979661,15
365154.94766718,3472609.75942367,139166.577823853,28
432384.94766718,3437959.75942367,250218.9803368,50
310434.94766718,3530479.75942367,47615.915549465,1
409284.94766718,3474409.75942367,202146.302884992,69
407244.94766718,3486679.75942367,186666.757442039,80
428664.94766718,3440959.75942367,244275.750904649,49
414324.94766718,3461569.75942367,214450.995514204,68
301284.94766718,3487549.75942367,81987.4241767194,9
334854.94766718,3490669.75942367,111538.067017464,21
403614.94766718,3477799.75942367,185390.066966456,75
346884.94766718,3524779.75942367,116009.164415257,104
345504.94766718,3478009.75942367,130200.627612316,22
405534.94766718,3477559.75942367,187374.331035168,74
309834.94766718,3471889.75942367,91332.1968981946,10
403374.94766718,3485059.75942367,181839.04099541,81
406284.94766718,3476029.75942367,192827.266094804,70
358974.94766718,3463609.75942367,150103.848378951,26
403404.94766718,3480559.75942367,180843.528009888,77
358224.94766718,3466369.75942367,148082.305089625,25
305844.94766718,3493759.75942367,78759.1189850614,8
422604.94766718,3435109.75942367,251930.22925361,47
349974.94766718,3552799.75942367,156628.835380676,89
437124.94766718,3433339.75942367,262525.956519382,52
336024.94766718,3494479.75942367,92159.9220103399,17
400404.94766718,3487789.75942367,173081.841867062,82
323214.94766718,3493609.75942367,67429.7163956096,13
355944.94766718,3549259.75942367,161598.389489145,88
427314.94766718,3441619.75942367,242978.471684035,48
462174.94766718,3441289.75942367,285938.874247976,56
406374.94766718,3474919.75942367,191869.032329895,71
437034.94766718,3429799.75942367,266522.718421714,53
410184.94766718,3437209.75942367,244650.675145141,45
433764.94766718,3438949.75942367,250450.817998641,51
311844.94766718,3511219.75942367,55307.5216000221,3
443634.94766718,3435229.75942367,262279.926215579,54
416064.94766718,3439369.75942367,239682.004154217,46
404424.94766718,3476149.75942367,187781.021510751,73
345354.94766718,3471979.75942367,149819.289937724,23
460524.94766718,3440869.75942367,283690.640483068,57
428304.94766718,3452509.75942367,239995.313678634,65
373944.94766718,3473299.75942367,147964.437123981,34
332634.94766718,3540709.75942367,142712.305089624,95
402294.94766718,3477859.75942367,180463.822382403,76
402714.94766718,3481159.75942367,180185.660044244,78
309204.94766718,3513319.75942367,36937.8333035729,2
337524.94766718,3493009.75942367,105285.426330344,20
458394.94766718,3439579.75942367,280884.467325767,58
401664.94766718,3492589.75942367,177995.294244979,84
391014.94766718,3499159.75942367,172616.40030829,85
377874.94766718,3471859.75942367,156890.458762268,37
422484.94766718,3460879.75942367,228022.601564763,66
333384.94766718,3538729.75942367,140313.188207169,96
354924.94766718,3469729.75942367,138646.283451338,24
376104.94766718,3473179.75942367,150867.523702632,35
437844.94766718,3444139.75942367,253953.021459747,63
443604.94766718,3440389.75942367,262937.794181223,60
330594.94766718,3544789.75942367,151643.473914169,94
320784.94766718,3557659.75942367,175659.709832706,91
330114.94766718,3576469.75942367,185610.878657251,90
461424.94766718,3440419.75942367,284702.478144909,55
406374.94766718,3488239.75942367,181621.395975532,83
437694.94766718,3445429.75942367,255164.564749072,62
437274.94766718,3445669.75942367,255404.564749072,61
369894.94766718,3470539.75942367,152066.123266806,31
