X,Y,L_m_Upstream,Max_Vel,Min_Vel,Mean_Vel,StreamNumber
304824.94766718,3498379.75942367,52728.0389183032,0.164819507211475,0.00369109678794797,0.124953992771649,7
313494.94766718,3513079.75942367,56645.9783106966,0.164819507211475,0.00428275035740493,0.148047944193942,4
334974.94766718,3530389.75942367,126038.638431458,0.164819507211475,0.00391498575875448,0.130052385330531,103
332214.94766718,3521269.75942367,118894.67740078,0.164819507211475,0.00403660013864443,0.129885081883501,102
335844.94766718,3492949.75942367,108260.056198321,0.164819507211475,0.00437423680963866,0.140478026841673,19
326214.94766718,3489979.75942367,73144.6406361014,0.164819507211475,0.00396392690998153,0.109130376409503,12
332304.94766718,3531529.75942367,129414.079990231,0.164819507211475,0.00373157819858709,0.122053103817338,98
324654.94766718,3531649.75942367,133785.400333792,0.164819507211475,0.00376776404393774,0.118830681454416,97
315624.94766718,3483709.75942367,71864.0518910709,0.164819507211475,0.00397052424675754,0.113535417389893,11
329004.94766718,3524839.75942367,126833.714190967,0.164819507211475,0.00385697173635703,0.123911537968145,99
330234.94766718,3523069.75942367,124631.805102377,0.164819507211475,0.00371081466512162,0.125319768589068,100
339174.94766718,3494959.75942367,93010.5821821197,0.164819507211475,0.00384774068425537,0.144231139963506,18
327834.94766718,3499639.75942367,75676.1839254269,0.164819507211475,0.00374732916629171,0.148205590963461,14
371364.94766718,3532279.75942367,166654.196847184,0.164819507211475,0.00818104752034612,0.115926014058016,86
329124.94766718,3519889.75942367,103235.131957829,0.164819507211475,0.00480755705605442,0.127645962737332,105
332484.94766718,3493459.75942367,97152.1968981946,0.164819507211475,0.00406105871489167,0.138439676144047,16
329634.94766718,3494719.75942367,81265.960979661,0.164819507211475,0.00387418289301142,0.138665419849487,15
365094.94766718,3472489.75942367,139311.430637595,0.164819507211475,0.00671471833874463,0.136335422911557,28
432264.94766718,3437749.75942367,250478.685964285,0.164819507211475,0.0125010008793859,0.132438342770203,50
310434.94766718,3530479.75942367,47615.915549465,0.164819507211475,0.00405257885328278,0.0758925473487416,1
