Elev,StrNum,UpLength_m
4175.532715,"2",35773.496093750000000
4228.003906,"4",149799.796875000000000
4273.504883,"5",139004.359375000000000
4581.705566,"6",176327.562500000000000
4562.871094,"7",163503.312500000000000
4454.769043,"8",115540.343750000000000
4370.687500,"9",174678.234375000000000
4468.336914,"10",181291.765625000000000
4442.628418,"11",186485.515625000000000
4340.807129,"12",189631.968750000000000
4329.384766,"13",222232.390625000000000
4518.532227,"14",263113.906250000000000
4512.998535,"16",335332.937500000000000
4569.796875,"17",342902.562500000000000
4258.866699,"18",261580.515625000000000
4393.532715,"19",262308.687500000000000
4371.875000,"21",248633.765625000000000
4343.389648,"22",243943.984375000000000
4405.285156,"23",244338.250000000000000
4263.265625,"24",213256.656250000029104
4489.462402,"25",224059.890625000000000
4443.630859,"26",153046.718750000000000
4288.301758,"27",143162.453125000000000
4519.532715,"28",144237.312500000000000
4502.237793,"29",70628.906250000000000
4496.827148,"30",79887.054687500000000
4608.750000,"31",94473.515625000000000
